Date,Ticker,Risk Group,Frequency,Predicted,Actual
2024-10-27 03:00:00+00:00,ETH-USD,Low,hourly,-12.800508613873992,-11.02304179653044
2024-10-27 04:00:00+00:00,ETH-USD,Low,hourly,-12.758923747481749,-13.686408503665094
2024-10-27 05:00:00+00:00,ETH-USD,Low,hourly,-12.515968659081707,-13.963358014394489
2024-10-27 06:00:00+00:00,ETH-USD,Low,hourly,-12.918397645721534,-13.635589618279688
2024-10-27 07:00:00+00:00,ETH-USD,Low,hourly,-12.81833682356463,-15.241507894516149
2024-10-27 08:00:00+00:00,ETH-USD,Low,hourly,-12.95183027774746,-12.836163822060358
2024-10-27 09:00:00+00:00,ETH-USD,Low,hourly,-13.16469323579621,-12.151415297574202
2024-10-27 10:00:00+00:00,ETH-USD,Low,hourly,-13.242818579668892,-12.865532131232332
2024-10-27 11:00:00+00:00,ETH-USD,Low,hourly,-13.112543548624316,-13.64739751584228
2024-10-27 12:00:00+00:00,ETH-USD,Low,hourly,-13.32088096484545,-11.890705963578078
2024-10-27 13:00:00+00:00,ETH-USD,Low,hourly,-13.037209808980093,-11.40305825548297
2024-10-27 14:00:00+00:00,ETH-USD,Low,hourly,-12.672364641618195,-11.40678640441667
2024-10-27 15:00:00+00:00,ETH-USD,Low,hourly,-12.657417343782775,-11.32235150667565
2024-10-27 16:00:00+00:00,ETH-USD,Low,hourly,-12.501784134807927,-17.636111381151686
2024-10-27 17:00:00+00:00,ETH-USD,Low,hourly,-12.499314632694151,-12.62587594178148
2024-10-27 18:00:00+00:00,ETH-USD,Low,hourly,-13.183261065307713,-11.24236779587195
2024-10-27 19:00:00+00:00,ETH-USD,Low,hourly,-13.041000489805256,-12.261525708564696
2024-10-27 20:00:00+00:00,ETH-USD,Low,hourly,-12.884745461102769,-15.274398624836987
2024-10-27 21:00:00+00:00,ETH-USD,Low,hourly,-13.137388299592384,-9.742238788861036
2024-10-27 22:00:00+00:00,ETH-USD,Low,hourly,-13.129982247206279,-13.131757624474895
2024-10-27 23:00:00+00:00,ETH-USD,Low,hourly,-12.704430829709006,-11.972026851281338
2024-10-28 00:00:00+00:00,ETH-USD,Low,hourly,-12.669093004494012,-11.723852944196238
2024-10-28 01:00:00+00:00,ETH-USD,Low,hourly,-12.877474456933804,-11.526448116560244
2024-10-28 02:00:00+00:00,ETH-USD,Low,hourly,-12.5305029188547,-13.004821514260737
2024-10-28 03:00:00+00:00,ETH-USD,Low,hourly,-12.302850854624475,-10.602715172407414
2024-10-28 04:00:00+00:00,ETH-USD,Low,hourly,-12.614007724485631,-11.450477080505808
2024-10-28 05:00:00+00:00,ETH-USD,Low,hourly,-12.43982941947421,-14.82203907796217
2024-10-28 06:00:00+00:00,ETH-USD,Low,hourly,-12.312061237623833,-12.863733475571582
2024-10-28 07:00:00+00:00,ETH-USD,Low,hourly,-12.706452461239868,-9.548131106109082
2024-10-28 08:00:00+00:00,ETH-USD,Low,hourly,-12.503845238208278,-16.64379520340248
2024-10-28 09:00:00+00:00,ETH-USD,Low,hourly,-12.148846279782742,-9.331103034625682
2024-10-28 10:00:00+00:00,ETH-USD,Low,hourly,-12.659033456050926,-12.086293507691591
2024-10-28 11:00:00+00:00,ETH-USD,Low,hourly,-12.400189978226367,-13.184722869315165
2024-10-28 12:00:00+00:00,ETH-USD,Low,hourly,-12.209733585652346,-15.773287767173228
2024-10-28 13:00:00+00:00,ETH-USD,Low,hourly,-12.262110910546475,-11.75860699728795
2024-10-28 14:00:00+00:00,ETH-USD,Low,hourly,-12.610374803188574,-11.888159549129623
2024-10-28 15:00:00+00:00,ETH-USD,Low,hourly,-12.518313141692513,-9.260586140808488
2024-10-28 16:00:00+00:00,ETH-USD,Low,hourly,-13.028601207046803,-12.94515488877215
2024-10-28 17:00:00+00:00,ETH-USD,Low,hourly,-12.200739253063368,-13.235455310538784
2024-10-28 18:00:00+00:00,ETH-USD,Low,hourly,-12.149003991559336,-13.96261182222513
2024-10-28 19:00:00+00:00,ETH-USD,Low,hourly,-12.349110771953086,-14.601112910981888
2024-10-28 20:00:00+00:00,ETH-USD,Low,hourly,-12.782296245438186,-10.448820343584618
2024-10-28 21:00:00+00:00,ETH-USD,Low,hourly,-12.460693987673466,-9.0297590765515
2024-10-28 22:00:00+00:00,ETH-USD,Low,hourly,-12.56880389896736,-9.433276231776194
2024-10-28 23:00:00+00:00,ETH-USD,Low,hourly,-12.112915825236335,-17.892958086139682
2024-10-29 00:00:00+00:00,ETH-USD,Low,hourly,-11.824875677308324,-10.083857763725076
2024-10-29 01:00:00+00:00,ETH-USD,Low,hourly,-12.408260593840282,-16.272841976441825
2024-10-29 02:00:00+00:00,ETH-USD,Low,hourly,-12.312038856117454,-9.092554783841935
2024-10-29 03:00:00+00:00,ETH-USD,Low,hourly,-12.486619795679111,-13.130769550626765
2024-10-29 04:00:00+00:00,ETH-USD,Low,hourly,-12.22720055291616,-10.538896072808576
2024-10-29 05:00:00+00:00,ETH-USD,Low,hourly,-12.622575434466185,-14.863943070883565
2024-10-29 06:00:00+00:00,ETH-USD,Low,hourly,-12.238460935681072,-15.95523544097572
2024-10-29 07:00:00+00:00,ETH-USD,Low,hourly,-12.197859120283903,-11.671886572226468
2024-10-29 08:00:00+00:00,ETH-USD,Low,hourly,-13.213839209503533,-10.996201094122654
2024-10-29 09:00:00+00:00,ETH-USD,Low,hourly,-12.397700527634171,-16.672759064824078
2024-10-29 10:00:00+00:00,ETH-USD,Low,hourly,-12.508752104228353,-11.205591553580364
2024-10-29 11:00:00+00:00,ETH-USD,Low,hourly,-13.02100750207415,-13.98129923838087
2024-10-29 12:00:00+00:00,ETH-USD,Low,hourly,-13.075928860923112,-10.799550470945691
2024-10-29 13:00:00+00:00,ETH-USD,Low,hourly,-12.801465165270526,-10.035784911397837
2024-10-29 14:00:00+00:00,ETH-USD,Low,hourly,-12.614845523133976,-12.772532380451135
2024-10-29 15:00:00+00:00,ETH-USD,Low,hourly,-12.120932966895827,-9.865382367238588
2024-10-29 16:00:00+00:00,ETH-USD,Low,hourly,-12.519733261610238,-9.939089709537187
2024-10-29 17:00:00+00:00,ETH-USD,Low,hourly,-12.283044801878578,-11.380456930408544
2024-10-29 18:00:00+00:00,ETH-USD,Low,hourly,-12.116741610626224,-12.646698774469048
2024-10-29 19:00:00+00:00,ETH-USD,Low,hourly,-12.10170187663169,-8.655467761737308
2024-10-29 20:00:00+00:00,ETH-USD,Low,hourly,-11.779045474251904,-11.93194215159332
2024-10-29 21:00:00+00:00,ETH-USD,Low,hourly,-11.34080215896865,-15.15268590239991
2024-10-29 22:00:00+00:00,ETH-USD,Low,hourly,-11.435982400117041,-10.42778078605781
2024-10-29 23:00:00+00:00,ETH-USD,Low,hourly,-12.57166426418555,-17.44570134045309
2024-10-30 00:00:00+00:00,ETH-USD,Low,hourly,-11.650849785451395,-9.771069979425723
2024-10-30 01:00:00+00:00,ETH-USD,Low,hourly,-12.786478865755964,-11.92588234898898
2024-10-30 02:00:00+00:00,ETH-USD,Low,hourly,-11.836344717166734,-13.892958448974756
2024-10-30 03:00:00+00:00,ETH-USD,Low,hourly,-12.211529555815268,-10.402353154607091
2024-10-30 04:00:00+00:00,ETH-USD,Low,hourly,-12.143031171633044,-13.576631525565253
2024-10-30 05:00:00+00:00,ETH-USD,Low,hourly,-12.362877256521374,-10.693917499292072
2024-10-30 06:00:00+00:00,ETH-USD,Low,hourly,-12.582142025986517,-12.12932669421521
