Date,Ticker,Frequency,Predicted
2023-10-29 00:00:00+00:00,BTC-USD,3hourly,-10.621352693170365
2023-10-30 00:00:00+00:00,BTC-USD,3hourly,-11.034474885987063
2023-10-31 00:00:00+00:00,BTC-USD,3hourly,-10.600472340933536
2023-11-01 00:00:00+00:00,BTC-USD,3hourly,-11.010280327117238
2023-11-02 00:00:00+00:00,BTC-USD,3hourly,-10.869469795464761
2023-11-03 00:00:00+00:00,BTC-USD,3hourly,-10.358289678367846
2023-11-04 00:00:00+00:00,BTC-USD,3hourly,-10.708388477861988
2023-11-05 00:00:00+00:00,BTC-USD,3hourly,-10.78127288762897
2023-11-06 00:00:00+00:00,BTC-USD,3hourly,-10.752946409594053
2023-11-07 00:00:00+00:00,BTC-USD,3hourly,-10.367666871659184
2023-11-08 00:00:00+00:00,BTC-USD,3hourly,-11.016698172171381
2023-11-09 00:00:00+00:00,BTC-USD,3hourly,-10.319975003969464
2023-11-10 00:00:00+00:00,BTC-USD,3hourly,-10.791876581760294
2023-11-11 00:00:00+00:00,BTC-USD,3hourly,-10.137157434612579
2023-11-12 00:00:00+00:00,BTC-USD,3hourly,-10.775122660638141
2023-11-13 00:00:00+00:00,BTC-USD,3hourly,-10.692726692307193
2023-11-14 00:00:00+00:00,BTC-USD,3hourly,-11.219182943285812
2023-11-15 00:00:00+00:00,BTC-USD,3hourly,-10.73749223106071
2023-11-16 00:00:00+00:00,BTC-USD,3hourly,-10.063174177453693
2023-11-17 00:00:00+00:00,BTC-USD,3hourly,-10.178182444003937
2023-11-18 00:00:00+00:00,BTC-USD,3hourly,-10.37893262142499
2023-11-19 00:00:00+00:00,BTC-USD,3hourly,-10.560938901119382
2023-11-20 00:00:00+00:00,BTC-USD,3hourly,-11.30777204772415
2023-11-21 00:00:00+00:00,BTC-USD,3hourly,-10.518594444511223
2023-11-22 00:00:00+00:00,BTC-USD,3hourly,-10.819758970548714
2023-11-23 00:00:00+00:00,BTC-USD,3hourly,-9.898919202348962
2023-11-24 00:00:00+00:00,BTC-USD,3hourly,-10.512867860243219
2023-11-25 00:00:00+00:00,BTC-USD,3hourly,-11.271513494950533
2023-11-26 00:00:00+00:00,BTC-USD,3hourly,-10.766421972965336
2023-11-27 00:00:00+00:00,BTC-USD,3hourly,-11.929540449210311
2023-11-28 00:00:00+00:00,BTC-USD,3hourly,-11.03453534976503
2023-11-29 00:00:00+00:00,BTC-USD,3hourly,-10.678031859025634
2023-11-30 00:00:00+00:00,BTC-USD,3hourly,-10.55497348633057
2023-12-01 00:00:00+00:00,BTC-USD,3hourly,-11.107707749014393
2023-12-02 00:00:00+00:00,BTC-USD,3hourly,-11.746038097767649
2023-12-03 00:00:00+00:00,BTC-USD,3hourly,-11.111139590687719
2023-12-04 00:00:00+00:00,BTC-USD,3hourly,-10.829541887908583
2023-12-05 00:00:00+00:00,BTC-USD,3hourly,-10.716547317320384
2023-12-06 00:00:00+00:00,BTC-USD,3hourly,-10.380710363125775
2023-12-07 00:00:00+00:00,BTC-USD,3hourly,-10.294071780852448
2023-12-08 00:00:00+00:00,BTC-USD,3hourly,-11.27237502082968
2023-12-09 00:00:00+00:00,BTC-USD,3hourly,-10.675876363831195
2023-12-10 00:00:00+00:00,BTC-USD,3hourly,-10.687283740691246
2023-12-11 00:00:00+00:00,BTC-USD,3hourly,-11.013167885437262
2023-12-12 00:00:00+00:00,BTC-USD,3hourly,-11.266827566203533
2023-12-13 00:00:00+00:00,BTC-USD,3hourly,-10.019788856532273
2023-12-14 00:00:00+00:00,BTC-USD,3hourly,-10.153134498419405
2023-12-15 00:00:00+00:00,BTC-USD,3hourly,-10.525107303301473
2023-12-16 00:00:00+00:00,BTC-USD,3hourly,-10.460227707078463
2023-12-17 00:00:00+00:00,BTC-USD,3hourly,-10.619825153177082
2023-12-18 00:00:00+00:00,BTC-USD,3hourly,-11.411071121292485
2023-12-19 00:00:00+00:00,BTC-USD,3hourly,-10.46747829849377
2023-12-20 00:00:00+00:00,BTC-USD,3hourly,-10.004390018877967
2023-12-21 00:00:00+00:00,BTC-USD,3hourly,-10.321894827234853
2023-12-22 00:00:00+00:00,BTC-USD,3hourly,-10.365912186747313
2023-12-23 00:00:00+00:00,BTC-USD,3hourly,-10.536482649305814
2023-12-24 00:00:00+00:00,BTC-USD,3hourly,-10.704476386589516
2023-12-25 00:00:00+00:00,BTC-USD,3hourly,-11.471177481570503
2023-12-26 00:00:00+00:00,BTC-USD,3hourly,-10.584598207549865
2023-12-27 00:00:00+00:00,BTC-USD,3hourly,-10.862828689968357
2023-12-28 00:00:00+00:00,BTC-USD,3hourly,-10.64774613904153
2023-12-29 00:00:00+00:00,BTC-USD,3hourly,-10.82771584901571
2023-12-30 00:00:00+00:00,BTC-USD,3hourly,-10.997185559259204
2023-12-31 00:00:00+00:00,BTC-USD,3hourly,-10.427460491418028
2024-01-01 00:00:00+00:00,BTC-USD,3hourly,-11.14156366785003
2024-01-02 00:00:00+00:00,BTC-USD,3hourly,-10.956944413689353
2024-01-03 00:00:00+00:00,BTC-USD,3hourly,-10.276610545810474
2024-01-04 00:00:00+00:00,BTC-USD,3hourly,-10.30717819787959
2024-01-05 00:00:00+00:00,BTC-USD,3hourly,-9.842345089354453
2024-01-06 00:00:00+00:00,BTC-USD,3hourly,-10.31562372718948
2024-01-07 00:00:00+00:00,BTC-USD,3hourly,-10.300780020122179
2024-01-08 00:00:00+00:00,BTC-USD,3hourly,-11.063008220130815
2024-01-09 00:00:00+00:00,BTC-USD,3hourly,-10.448091633969728
2024-01-10 00:00:00+00:00,BTC-USD,3hourly,-9.854635045672755
2024-01-11 00:00:00+00:00,BTC-USD,3hourly,-9.43082499636228
2024-01-12 00:00:00+00:00,BTC-USD,3hourly,-9.395536868143333
2024-01-13 00:00:00+00:00,BTC-USD,3hourly,-9.540159808537673
2024-01-14 00:00:00+00:00,BTC-USD,3hourly,-9.295883240344704
2024-01-15 00:00:00+00:00,BTC-USD,3hourly,-10.380023850449419
2024-01-16 00:00:00+00:00,BTC-USD,3hourly,-10.091674808438544
2024-01-17 00:00:00+00:00,BTC-USD,3hourly,-10.24202187743572
2024-01-18 00:00:00+00:00,BTC-USD,3hourly,-10.09037000004389
2024-01-19 00:00:00+00:00,BTC-USD,3hourly,-11.017469115796919
2024-01-20 00:00:00+00:00,BTC-USD,3hourly,-10.236732016477063
2024-01-21 00:00:00+00:00,BTC-USD,3hourly,-10.566683048894495
2024-01-22 00:00:00+00:00,BTC-USD,3hourly,-11.414915355890866
2024-01-23 00:00:00+00:00,BTC-USD,3hourly,-11.200788177832091
2024-01-24 00:00:00+00:00,BTC-USD,3hourly,-10.110179762039955
2024-01-25 00:00:00+00:00,BTC-USD,3hourly,-10.111972499072849
2024-01-26 00:00:00+00:00,BTC-USD,3hourly,-10.367113569213288
2024-01-27 00:00:00+00:00,BTC-USD,3hourly,-10.605155887190877
2024-01-28 00:00:00+00:00,BTC-USD,3hourly,-10.569532050922092
2024-01-29 00:00:00+00:00,BTC-USD,3hourly,-11.385726096730572
2024-01-30 00:00:00+00:00,BTC-USD,3hourly,-10.576337803952118
2024-01-31 00:00:00+00:00,BTC-USD,3hourly,-10.596717563330898
2024-02-01 00:00:00+00:00,BTC-USD,3hourly,-10.54937790471638
2024-02-02 00:00:00+00:00,BTC-USD,3hourly,-10.383953244128614
2024-02-03 00:00:00+00:00,BTC-USD,3hourly,-10.479883707841758
2024-02-04 00:00:00+00:00,BTC-USD,3hourly,-10.71659582919007
2024-02-05 00:00:00+00:00,BTC-USD,3hourly,-11.868010615451603
2024-02-06 00:00:00+00:00,BTC-USD,3hourly,-11.091865475866008
2024-02-07 00:00:00+00:00,BTC-USD,3hourly,-10.66473765805037
2024-02-08 00:00:00+00:00,BTC-USD,3hourly,-11.169659704097779
2024-02-09 00:00:00+00:00,BTC-USD,3hourly,-10.827672535649256
2024-02-10 00:00:00+00:00,BTC-USD,3hourly,-10.957020823572062
2024-02-11 00:00:00+00:00,BTC-USD,3hourly,-10.42996420884393
2024-02-12 00:00:00+00:00,BTC-USD,3hourly,-11.084363356527817
2024-02-13 00:00:00+00:00,BTC-USD,3hourly,-10.813839434215215
2024-02-14 00:00:00+00:00,BTC-USD,3hourly,-10.041998382088448
2024-02-15 00:00:00+00:00,BTC-USD,3hourly,-10.429644408973974
2024-02-16 00:00:00+00:00,BTC-USD,3hourly,-10.88968527760522
2024-02-17 00:00:00+00:00,BTC-USD,3hourly,-10.061806034787132
2024-02-18 00:00:00+00:00,BTC-USD,3hourly,-10.64457527722274
2024-02-19 00:00:00+00:00,BTC-USD,3hourly,-10.594688913462818
2024-02-20 00:00:00+00:00,BTC-USD,3hourly,-10.636842914791128
2024-02-21 00:00:00+00:00,BTC-USD,3hourly,-10.907691818506635
2024-02-22 00:00:00+00:00,BTC-USD,3hourly,-10.530830830126447
2024-02-23 00:00:00+00:00,BTC-USD,3hourly,-10.246938902906203
