time,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",volume,IPNMAT,UEMPMEAN,USCONS,BUSLOANS,AAAFFM
2020-05-05,-13.58154784224248,-13.41081259557122,-13.388956014266649,1.2635973790132749e-06,1.4988497226988978e-06,1.5319700839770685e-06,95109.20578225,89.2072,10.5,7010,3033.757,2.45
2020-05-06,-13.538839842102457,-13.425138902940532,-13.41583609725074,1.3187320619828188e-06,1.4775298232330955e-06,1.4913391291337702e-06,72496.32369795,89.2072,10.5,7010,3033.757,2.45
2020-05-07,-13.286184705242054,-13.586509160328449,-13.43359285995164,1.6977873640015731e-06,1.2573437963173469e-06,1.4650915002286951e-06,133179.76035642,89.2072,10.5,7010,3033.757,2.45
2020-05-08,-13.833026028637828,-13.622301135498756,-13.45412947840348,9.826370334907117e-07,1.2131368250231468e-06,1.435310324100654e-06,89532.37244301,89.2072,10.5,7010,3033.757,2.45
2020-05-09,-14.204943389165988,-13.604566908035125,-13.466077349550655,6.774409889506154e-07,1.2348427696232846e-06,1.4182634609427911e-06,53614.53679653,89.2072,10.5,7010,3033.757,2.45
2020-05-10,-11.69758517944733,-12.997915828896163,-13.325657303327564,8.313871447319405e-06,2.265045232803149e-06,1.6320767026931296e-06,495289.85572309,89.2072,10.5,7010,3033.757,2.45
2020-05-11,-12.78677400469903,-12.925176938945878,-13.28885940484949,2.7975290719425457e-06,2.435942192385849e-06,1.693252360395378e-06,132265.68832227,89.2072,10.5,7010,3033.757,2.45
2020-05-12,-13.6030826274484,-12.926756947596878,-13.28386957472977,1.2366769836813046e-06,2.432096421624139e-06,1.7017225167698186e-06,62581.19685998,89.2072,10.5,7010,3033.757,2.45
2020-05-13,-13.878017196174516,-12.949289825928004,-13.3132826097185,9.394068268127598e-07,2.377907102314131e-06,1.6523986313264106e-06,60516.14195089,89.2072,10.5,7010,3033.757,2.45
2020-05-14,-13.521363406029185,-12.970897294835355,-13.310547625168017,1.3419813642928703e-06,2.327077673784316e-06,1.6569241017792814e-06,64381.31537483,89.2072,10.5,7010,3033.757,2.45
2020-05-15,-13.668940456428505,-12.960198198919494,-13.309277373141256,1.1578560954640333e-06,2.352108968351933e-06,1.6590301503007732e-06,56621.52805788,89.2072,10.5,7010,3033.757,2.45
2020-05-16,-13.983843409869936,-12.950068449831337,-13.367413305211848,8.450725038731709e-07,2.376056327626584e-06,1.5653309209917598e-06,41859.80467686,89.2072,10.5,7010,3033.757,2.45
2020-05-17,-14.15663935412954,-13.560924799821322,-13.376068438724852,7.109673324431851e-07,1.289927168358553e-06,1.5518412346076578e-06,68473.4022989,89.2072,10.5,7010,3033.757,2.45
2020-05-18,-13.883478554198494,-13.792037995189045,-13.39045677786534,9.342903739090464e-07,1.0237502114966245e-06,1.529672683399531e-06,85467.40254181,89.2072,10.5,7010,3033.757,2.45
2020-05-19,-14.257244080160248,-13.878527124173893,-13.409857767234955,6.429209367899142e-07,9.389279190835688e-07,1.5002815503519562e-06,54082.75740987,89.2072,10.5,7010,3033.757,2.45
2020-05-20,-14.0008616121216,-13.895187673786376,-13.45204507359326,8.308125724443546e-07,9.234144541737966e-07,1.438305212039444e-06,103979.76972109,89.2072,10.5,7010,3033.757,2.45
2020-05-21,-13.746637506792789,-13.93796555927234,-13.462476911428087,1.071300200210039e-06,8.84745716447678e-07,1.4233790344021018e-06,137521.71509096,89.2072,10.5,7010,3033.757,2.45
2020-05-22,-14.193365087631902,-14.0173305613859,-13.472753537119104,6.853301886251984e-07,8.172420154707015e-07,1.408826404886162e-06,56215.77390554,89.2072,10.5,7010,3033.757,2.45
2020-05-23,-14.521220348393417,-14.08070833784026,-13.502966372526418,4.937579851562904e-07,7.670542270825757e-07,1.366898336841e-06,30788.05250085,89.2072,10.5,7010,3033.757,2.45
2020-05-24,-13.9161896181999,-14.045348710226571,-13.499431839489237,9.042231874990348e-07,7.946622063762686e-07,1.3717382325179157e-06,74189.83355827,89.2072,10.5,7010,3033.757,2.45
2020-05-25,-14.253047461393054,-14.09863735081748,-13.509374212706083,6.456247002231173e-07,7.534242529925643e-07,1.3581674736191333e-06,30960.94041765,89.2072,10.5,7010,3033.757,2.45
2020-05-26,-14.273687476078434,-14.10062746400228,-13.510874718993684,6.324355769995467e-07,7.519263444510833e-07,1.3561310629909164e-06,32599.67550075,89.2072,10.5,7010,3033.757,2.45
2020-05-27,-14.796687009134764,-14.19123484253296,-13.521674761071734,3.7486982329032876e-07,6.867916660005082e-07,1.3415635966684908e-06,46188.96234729,89.2072,10.5,7010,3033.757,2.45
2020-05-28,-14.413165215846478,-14.305987074575546,-13.52091312741418,5.501002977243889e-07,6.123345370739867e-07,1.3425857658672849e-06,59390.39210107,89.2072,10.5,7010,3033.757,2.45
2020-05-29,-14.222810690662174,-14.310637198734504,-13.541039212760454,6.654444386923391e-07,6.094937156550069e-07,1.3158348685489146e-06,54780.63541299,89.2072,10.5,7010,3033.757,2.45
2020-05-30,-13.558297368050852,-14.138865435598378,-13.591586582610006,1.293320820324476e-06,7.237169778218904e-07,1.2509759108126703e-06,151516.67526305,89.2072,10.5,7010,3033.757,2.45
2020-05-31,-13.741505655149917,-14.105364942054129,-13.597339252421907,1.0768120848930294e-06,7.483725345924611e-07,1.2438001192241007e-06,73010.36399261,89.2072,10.5,7010,3033.757,2.45
2020-06-01,-13.6752489344003,-14.01334185962931,-13.58072625119358,1.1505747769577935e-06,8.205082598402721e-07,1.2646359658977057e-06,100180.22814925,90.7471,14.3,7156,2925.0157,2.36
2020-06-02,-12.367566310646437,-13.52438992023174,-13.500919200337956,4.254359608115e-06,1.3379259785710511e-06,1.3696994793328603e-06,170377.0506442,90.7471,14.3,7156,2925.0157,2.36
2020-06-03,-14.313212541584305,-13.499809900709815,-13.525389958513657,6.079260798386744e-07,1.371219729506529e-06,1.3365886701653614e-06,50915.58663257,90.7471,14.3,7156,2925.0157,2.36
2020-06-04,-13.683595659433102,-13.440067931685824,-13.52845183126828,1.1410112134051571e-06,1.4556355746037814e-06,1.3325024646450903e-06,66966.17260122,90.7471,14.3,7156,2925.0157,2.36
2020-06-05,-14.106127147941384,-13.432017756830993,-13.542836945723396,7.47802337971948e-07,1.4674009887865829e-06,1.3134714738447283e-06,40710.75603081,90.7471,14.3,7156,2925.0157,2.36
2020-06-06,-14.400238123645714,-13.506373468028071,-13.572208507818718,5.572576572442063e-07,1.3622491083465444e-06,1.2754538169528162e-06,29893.9230684,90.7471,14.3,7156,2925.0157,2.36
2020-06-07,-14.141560177429517,-13.544317138607372,-13.57904949704339,7.217693727328671e-07,1.3115287208950924e-06,1.266758228260888e-06,57445.06698605,90.7471,14.3,7156,2925.0157,2.36
2020-06-08,-14.888603201593543,-13.6365188697158,-13.587916784611124,3.419493529658187e-07,1.1960108031819537e-06,1.2555751737280612e-06,27692.56228744,90.7471,14.3,7156,2925.0157,2.36
2020-06-09,-13.66656091552628,-14.09781084183982,-13.798522400433187,1.160614542018704e-06,7.540472223110539e-07,1.0171332768847047e-06,47834.18367515,90.7471,14.3,7156,2925.0157,2.36
2020-06-10,-14.314215269342773,-14.09792627871796,-13.873005992038456,6.073168010047721e-07,7.539601824776393e-07,9.44126201186779e-07,71281.08951322,90.7471,14.3,7156,2925.0157,2.36
2020-06-11,-13.62237357319425,-14.084369190993792,-13.87384055183763,1.2130489513699424e-06,7.6425128790118e-07,9.433386001097336e-07,152649.09245007,90.7471,14.3,7156,2925.0157,2.36
2020-06-12,-14.691787102010554,-14.148332087773673,-13.89249666926897,4.163302164565029e-07,7.168981276846878e-07,9.259027130978582e-07,54835.07559159,90.7471,14.3,7156,2925.0157,2.36
2020-06-13,-15.02256401718232,-14.201150673021028,-13.93076514580513,2.9907722563683965e-07,6.800152088836355e-07,8.91139241809324e-07,37194.55847502,90.7471,14.3,7156,2925.0157,2.36
2020-06-14,-14.68241446077437,-14.266588636088716,-13.958743262881026,4.202506740325043e-07,6.36941109069298e-07,8.66552394428273e-07,76640.48410652,90.7471,14.3,7156,2925.0157,2.36
2020-06-15,-13.780839127714176,-14.12205165353359,-13.951453281402552,1.0352794913865457e-06,7.359882717008304e-07,8.728926273453855e-07,106435.38659887,90.7471,14.3,7156,2925.0157,2.36
2020-06-16,-14.735818679537754,-14.282159904238508,-13.963461306650531,3.983962676860514e-07,6.270999467961658e-07,8.62473591853481e-07,44540.10055525,90.7471,14.3,7156,2925.0157,2.36
2020-06-17,-14.436169276597402,-14.298171548574125,-13.978911932311822,5.375902002542205e-07,6.171390038318012e-07,8.492502527316535e-07,53585.32047613,90.7471,14.3,7156,2925.0157,2.36
2020-06-18,-14.890151205412597,-14.523526446502538,-13.990816499092231,3.414204235594989e-07,4.926206427160236e-07,8.39200235623973e-07,19576.40947943,90.7471,14.3,7156,2925.0157,2.36
2020-06-19,-14.721124957729998,-14.527023156977284,-14.007903141440837,4.042934110026168e-07,4.909010990797541e-07,8.249829302425817e-07,29108.92254729,90.7471,14.3,7156,2925.0157,2.36
2020-06-20,-14.97977365312772,-14.52322531168106,-14.039056677334354,3.121526040632214e-07,4.927690102835229e-07,7.996780103710211e-07,27012.55613965,90.7471,14.3,7156,2925.0157,2.36
2020-06-21,-15.464374654092826,-14.591604479065346,-14.05982334197906,1.922681828012417e-07,4.6020008296477125e-07,7.832426101768892e-07,23255.62487055,90.7471,14.3,7156,2925.0157,2.36
2020-06-22,-14.552453532442156,-14.78133080751625,-14.060469723060312,4.785746966226628e-07,3.8067082656993074e-07,7.827365005591016e-07,123882.18074423,90.7471,14.3,7156,2925.0157,2.36
2020-06-23,-15.133582303553036,-14.83164119041083,-14.087952783147864,2.6765090373619973e-07,3.619929174342377e-07,7.615174244336738e-07,46493.78877707,90.7471,14.3,7156,2925.0157,2.36
2020-06-24,-13.819319752570038,-14.66529207575724,-14.072723947356632,9.961980511728942e-07,4.275083247083339e-07,7.732032027986663e-07,90926.07262493,90.7471,14.3,7156,2925.0157,2.36
2020-06-25,-14.405025293771926,-14.596479565005186,-14.076085294332708,5.54596345194054e-07,4.579620277989846e-07,7.706085617384834e-07,54495.20045186,90.7471,14.3,7156,2925.0157,2.36
2020-06-26,-14.456291012604243,-14.55895248189689,-14.069531441723848,5.268810567717122e-07,4.7547454862314106e-07,7.756756028545295e-07,34440.63122995,90.7471,14.3,7156,2925.0157,2.36
2020-06-27,-14.163660261544536,-14.447115913293963,-14.06285455172651,7.059931785964497e-07,5.317374878421737e-07,7.808720322169314e-07,56774.99387326,90.7471,14.3,7156,2925.0157,2.36
2020-06-28,-14.552982225071888,-14.373074458292988,-14.070874390926008,4.783217445806136e-07,5.726022823820839e-07,7.746346090798739e-07,37340.47022513,90.7471,14.3,7156,2925.0157,2.36
2020-06-29,-14.50285948828681,-14.367022067863568,-14.105478574601827,5.029075463133561e-07,5.760784037664688e-07,7.482874999461699e-07,30406.99911835,90.7471,14.3,7156,2925.0157,2.36
2020-06-30,-14.825445897053545,-14.343351444299664,-14.137735516688746,3.6424253106386973e-07,5.898772076704216e-07,7.24535181485198e-07,16351.38981932,90.7471,14.3,7156,2925.0157,2.36
2020-07-01,-14.591336196714693,-14.482359178358134,-14.17000672332361,4.60323563087828e-07,5.13323709372555e-07,7.015268076895324e-07,35613.51636971,91.7657,17.0,7192,2856.1154,2.05
2020-07-02,-14.21214569224071,-14.450052228715824,-14.356564945860566,6.725793820317439e-07,5.301784289207964e-07,5.821341334867573e-07,44597.72184614,91.7657,17.0,7192,2856.1154,2.05
2020-07-03,-14.91642866767976,-14.5038312455328,-14.37245786981977,3.325656117719611e-07,5.024190796351177e-07,5.729554512178669e-07,12157.18225408,91.7657,17.0,7192,2856.1154,2.05
2020-07-04,-14.909513243155438,-14.615348092460003,-14.42049267664096,3.348734146807888e-07,4.49401970504309e-07,5.460841912603879e-07,14858.10632355,91.7657,17.0,7192,2856.1154,2.05
2020-07-05,-14.704180443313952,-14.636915101086425,-14.441252970546158,4.1120233541353814e-07,4.3981348348044106e-07,5.348641911751075e-07,21435.06672292,91.7657,17.0,7192,2856.1154,2.05
2020-07-06,-14.489712740102645,-14.634755722265703,-14.444229793825697,5.095627967798019e-07,4.407642335470762e-07,5.332743624929607e-07,64796.78224753,91.7657,17.0,7192,2856.1154,2.05
2020-07-07,-14.589917049591788,-14.603884254050984,-14.460665429333316,4.609772937082377e-07,4.545834853534144e-07,5.245812931921397e-07,59022.58475119,91.7657,17.0,7192,2856.1154,2.05
2020-07-08,-14.361166659094335,-14.567127910868976,-14.445686011914438,5.794614732651167e-07,4.716031868073129e-07,5.324983638687829e-07,59661.19886249,91.7657,17.0,7192,2856.1154,2.05
2020-07-09,-14.338543548295675,-14.591616135707136,-14.481882322252698,5.927201046401804e-07,4.601947186085181e-07,5.135685492894989e-07,56733.10896051,91.7657,17.0,7192,2856.1154,2.05
2020-07-10,-14.860655869068328,-14.585712158934284,-14.498616296571328,3.516407183643686e-07,4.629197338360048e-07,5.050460132014854e-07,27985.19297292,91.7657,17.0,7192,2856.1154,2.05
2020-07-11,-15.305533030933272,-14.620089883249818,-14.566025654156729,2.2536759080364798e-07,4.472760447106991e-07,4.72123301182609e-07,17501.29228883,91.7657,17.0,7192,2856.1154,2.05
2020-07-12,-14.401022674357426,-14.574629481473089,-14.556155476677898,5.568206318093328e-07,4.680786584815269e-07,4.768063150277033e-07,32395.2184953,91.7657,17.0,7192,2856.1154,2.05
2020-07-13,-14.720035958095004,-14.6071461313108,-14.54879620618894,4.047339261965371e-07,4.531031055410605e-07,4.803282050463598e-07,37595.04365674,91.7657,17.0,7192,2856.1154,2.05
2020-07-14,-15.100744603393837,-14.667040598912653,-14.558816145928317,2.765858424037788e-07,4.267614696404235e-07,4.755393773254023e-07,21660.26359217,91.7657,17.0,7192,2856.1154,2.05
2020-07-15,-15.339086132142665,-14.796035066171216,-14.617815596362906,2.17931262798178e-07,3.751142967165751e-07,4.4829443637245685e-07,19637.62674117,91.7657,17.0,7192,2856.1154,2.05
2020-07-16,-14.558691688916062,-14.841664571560685,-14.612091564130344,4.755985652186112e-07,3.583826482277794e-07,4.508678462902088e-07,79198.7809532,91.7657,17.0,7192,2856.1154,2.05
2020-07-17,-15.633158357548954,-14.92009271555547,-14.640221353825805,1.6240731655599885e-07,3.313493051122981e-07,4.383617501669347e-07,18015.06156474,91.7657,17.0,7192,2856.1154,2.05
