Ticker,Date,Open,High,Low,Close,Volume,daily_rv,ln_daily_rv,daily_return,ln_daily_return,ln_daily_rv_lag1,ln_daily_rv_lag2,ln_daily_rv_lag3,weekly_rv,ln_weekly_rv,ln_weekly_rv_lag1,monthly_rv,ln_monthly_rv,ln_monthly_rv_lag1,Risk
SOL-USD,2024-06-11 00:00:00+00:00,149.54551696777344,150.11024475097656,149.07359313964844,149.44581604003906,0.0,0.0020192777114507727,-6.205015400100641,-0.0596674203474612,-0.06152165815242972,-7.002399192390186,-7.740812478046399,-7.953623063079112,0.0008678151330492075,-7.049531846345517,-7.3468673233946715,0.0011892885987840746,-6.734399966769858,-6.777180549580688,High Risk
SOL-USD,2024-06-12 00:00:00+00:00,155.47406005859375,155.51185607910156,154.46173095703125,155.1749267578125,0.0,0.004060026183386946,-5.506565856279206,0.03833570500386907,0.0376191476815737,-6.205015400100641,-7.002399192390186,-7.740812478046399,0.0014009901734126627,-6.570576025632834,-7.049531846345517,0.0012415529917825122,-6.691392270251975,-6.734399966769858,High Risk
SOL-USD,2024-06-13 00:00:00+00:00,147.9451904296875,147.9451904296875,147.00299072265625,147.29739379882812,5511040.0,0.0011597505460590387,-6.759550343490507,-0.050765501383346234,-0.0520994101414052,-5.506565856279206,-6.205015400100641,-7.002399192390186,0.001497763990854047,-6.503781955795966,-6.570576025632834,0.0012499108118108279,-6.684683080764836,-6.691392270251975,High Risk
SOL-USD,2024-06-14 00:00:00+00:00,143.146728515625,143.31883239746094,142.712158203125,143.0814971923828,0.0,0.0011597838308349427,-6.759521643958188,-0.028621664631780175,-0.02903925180198458,-6.759550343490507,-5.506565856279206,-6.205015400100641,0.0014420914387282644,-6.541660831083822,-6.503781955795966,0.001222817523928149,-6.706597637065535,-6.684683080764836,High Risk
SOL-USD,2024-06-15 00:00:00+00:00,145.3206329345703,145.513427734375,145.21121215820312,145.40664672851562,0.0,0.00020920162360157436,-8.472212064801834,0.016250525621817502,0.01611989909679013,-6.759521643958188,-6.759550343490507,-5.506565856279206,0.0014217792765009883,-6.555846180112471,-6.541660831083822,0.0011619451784539068,-6.757659800276459,-6.706597637065535,High Risk
SOL-USD,2024-06-16 00:00:00+00:00,150.30955505371094,151.12014770507812,150.2399444580078,151.12014770507812,34780928.0,0.000568704651693627,-7.472149324163912,0.039293258630948236,0.038540923139694296,-8.472212064801834,-6.759521643958188,-6.759550343490507,0.0014409201935234588,-6.542473346202484,-6.555846180112471,0.001114465961802117,-6.799379946832095,-6.757659800276459,High Risk
SOL-USD,2024-06-17 00:00:00+00:00,143.7133331298828,144.0121612548828,143.0203857421875,143.36448669433594,6612736.0,0.001564838836223438,-6.459972440341751,-0.05132115822092709,-0.05268495516248733,-7.472149324163912,-8.472212064801834,-6.759521643958188,0.0015345119118929066,-6.479542921215221,-6.542473346202484,0.0011470682366889746,-6.770545951158089,-6.799379946832095,High Risk
SOL-USD,2024-06-18 00:00:00+00:00,137.48715209960938,137.56422424316406,136.60389709472656,137.550537109375,0.0,0.006860343636234611,-4.981997745753373,-0.04055362467384771,-0.04139885323984913,-6.459972440341751,-7.472149324163912,-8.472212064801834,0.0022260927582905972,-6.107507356605867,-6.479542921215221,0.0013490606616887967,-6.608346734873699,-6.770545951158089,High Risk
SOL-USD,2024-06-19 00:00:00+00:00,134.94406127929688,135.6073455810547,134.73263549804688,135.6073455810547,0.0,0.0011977764863011088,-6.727288369065361,-0.014127109709322072,-0.014227847202188643,-4.981997745753373,-6.459972440341751,-7.472149324163912,0.001817199944421192,-6.310458454663887,-6.107507356605867,0.0012713175193198524,-6.667701499469269,-6.608346734873699,High Risk
SOL-USD,2024-06-20 00:00:00+00:00,133.76304626464844,134.00840759277344,133.45358276367188,133.5157012939453,0.0,0.0016644962946748651,-6.398232727040669,-0.01542426981478795,-0.015544461377629814,-6.727288369065361,-4.981997745753373,-6.459972440341751,0.0018893064799377387,-6.271545459082098,-6.310458454663887,0.0012906629184746888,-6.652599302314496,-6.667701499469269,High Risk
SOL-USD,2024-06-21 00:00:00+00:00,134.77816772460938,135.22915649414062,133.83547973632812,134.58184814453125,19675904.0,0.0019294896436751385,-6.250499744362944,0.00798517957254119,0.007953466736070915,-6.398232727040669,-6.727288369065361,-4.981997745753373,0.001999264453200624,-6.214975939467102,-6.271545459082098,0.0012916854912393683,-6.651807331088397,-6.652599302314496,High Risk
SOL-USD,2024-06-22 00:00:00+00:00,134.21871948242188,134.22921752929688,133.23536682128906,133.67535400390625,0.0,0.00035119324981798555,-7.9541739167240575,-0.006735634508834298,-0.006758421274811752,-6.250499744362944,-6.398232727040669,-6.727288369065361,0.00201954897123154,-6.2048810740686084,-6.214975939467102,0.0012185121627063787,-6.7101247032447855,-6.651807331088397,High Risk
SOL-USD,2024-06-23 00:00:00+00:00,129.0058135986328,129.27774047851562,128.2696990966797,128.58596801757812,46227008.0,0.0005357258784208997,-7.531887948570254,-0.03807273243637266,-0.03881643661788097,-7.9541739167240575,-6.250499744362944,-6.398232727040669,0.0020148377179068644,-6.207216623845697,-6.2048810740686084,0.0011954692060467823,-6.729216529618654,-6.7101247032447855,High Risk
SOL-USD,2024-06-24 00:00:00+00:00,130.21177673339844,132.3112335205078,130.203125,132.26856994628906,32830720.0,0.0025024654986710243,-5.990478833614782,0.028639220791241593,0.028236783897382843,-7.531887948570254,-7.9541739167240575,-6.250499744362944,0.002148784383970805,-6.142852999547283,-6.207216623845697,0.0012613475778986138,-6.6755746232643824,-6.729216529618654,High Risk
SOL-USD,2024-06-25 00:00:00+00:00,136.8758087158203,136.91200256347656,136.13291931152344,136.5548095703125,0.0,0.0021987456885859766,-6.119868222762194,0.03240557923748599,0.03189159299096428,-5.990478833614782,-7.531887948570254,-7.9541739167240575,0.0014828418200210007,-6.513794883672268,-6.142852999547283,0.0013126569013732169,-6.635702026739895,-6.6755746232643824,High Risk
SOL-USD,2024-06-26 00:00:00+00:00,137.17555236816406,137.32752990722656,136.4293975830078,136.5972900390625,0.0,0.0012342543864996833,-6.6972882268517235,0.00031108731273299384,0.00031103893510777233,-6.119868222762194,-5.990478833614782,-7.531887948570254,0.001488052948620797,-6.510286759453788,-6.513794883672268,0.0013141896497180408,-6.634535039259689,-6.635702026739895,High Risk
SOL-USD,2024-06-27 00:00:00+00:00,149.9324188232422,150.06570434570312,149.03233337402344,149.42225646972656,5334016.0,0.003600756049089373,-5.626611441933912,0.09388887895943276,0.08973912567766222,-6.6972882268517235,-6.119868222762194,-5.990478833614782,0.0017646614849657265,-6.339796400212101,-6.510286759453788,0.001392871025285223,-6.5763881762059215,-6.634535039259689,High Risk
SOL-USD,2024-06-28 00:00:00+00:00,139.92800903320312,139.92800903320312,139.52490234375,139.73416137695312,1473280.0,0.0016946603518585037,-6.380272940613319,-0.06483702844319095,-0.06703446375185008,-5.626611441933912,-6.6972882268517235,-6.119868222762194,0.001731114443277636,-6.3589898910060585,-6.339796400212101,0.0014099195264438377,-6.564222649664898,-6.5763881762059215,High Risk
SOL-USD,2024-06-29 00:00:00+00:00,139.86007690429688,140.26953125,139.8474884033203,139.9928741455078,0.0,0.0003291753170245266,-8.018920070634227,0.0018514639942395217,0.0018497521474013796,-6.380272940613319,-5.626611441933912,-6.6972882268517235,0.0017279690243071418,-6.360808534509123,-6.3589898910060585,0.0013852248805536098,-6.581892783892429,-6.564222649664898,High Risk
